first_name,last_name,Lotto Number
Mandi,Attewell,9573620
Claiborne,Gerardi,5751241
Marne,Berthod,9345566
Violetta,Gillivrie,1015769
Aldridge,Dahlman,5634498
Yard,Stobbart,4524651
Aloysius,Vardon,1695287
Coreen,Sinnat,3420316
Livvyy,Kenward,1224440
Carole,Tootell,3830196
Micheil,Maciunas,1841402
Karine,Peppard,7329320
Marcille,Lillegard,7370633
Maurizia,Buey,3620983
Arron,Emanuele,2994962
Mari,Arkow,2177335
Weylin,Tuison,9439322
Priscella,Brion,2376492
Johnette,Kasher,4089266
Rodina,Coslett,5899998
Crissie,Goldsworthy,3460743
Arabelle,Piper,3223950
Radcliffe,Reichartz,9861858
Mariejeanne,Windrus,5866741
Marga,Mattiacci,9098613
Sarita,Sallings,9357207
Isabella,Flack,7547215
Portia,Caulwell,2967244
Eolande,Kerne,5061325
Kerrie,Trett,4965188
Rice,Keford,7315203
Hanna,Mattingly,3421129
Jaquenetta,Markson,4574861
Cherry,Teager,8014453
Jone,Hulcoop,9639604
Araldo,Drees,6783794
Rosemarie,Goodsall,4093725
Mireille,Daveran,6471162
Kakalina,Matejic,2468299
Doy,Schlagh,2944580
Elianora,Harly,9616496
Mia,Sommers,7524639
Blinni,McGeaney,2845138
Fairfax,Celier,1102297
Dorelle,Ritchley,6867606
Lenore,Dowthwaite,5560383
Glennis,Camerati,5976230
Quillan,Josefovic,5510403
Hertha,Schoenleiter,7170323
Omar,Rodbourne,8760306
Roy,Ary,2072094
Benoite,Bestman,3312534
Arther,Setterfield,8559023
Ignazio,Norcliff,9439691
Prentiss,Crab,7786781
Robinet,Beet,8851020
Valry,Vicarey,3955040
Randi,Agiolfinger,9629261
Pepito,Valder,4786489
Nertie,Sallowaye,5774818
Sande,D'eath,2223491
Miles,Heaven,7269215
Halley,Buntin,4355424
Frasco,Nixon,1595989
Tressa,Pacher,8274205
Esteban,Philimore,8238331
Graeme,Readings,5865187
Ignaz,Petran,8453434
Dani,Purchase,5637003
Dimitri,Gwioneth,4548505
Maurise,Audry,5211516
Antonie,Kierans,5030759
Audra,Ahlin,3276871
Win,Lurcock,7310582
Leif,Collingworth,8253696
Morna,Benedtti,3215969
Alvin,Pepis,7956374
Thelma,Mawby,6549255
Marve,Mellings,2627353
Dalston,Fosdyke,1037892
Veronike,Sennett,9850734
Harmonia,Birchall,9582788
Griff,Besantie,6228765
Zora,Inchan,6375858
Alexander,Ledwidge,8381822
Maynard,O'Hartnedy,7290153
Alameda,Rundall,7030326
Shel,Feilden,2174340
Kayley,Redmond,3430451
Terri,MacFarlane,5007970
Ike,Sailer,1132869
Birdie,Kale,4149804
Ginnie,Cleugh,4006951
Alfy,Paulsen,4438597
Norma,Orsi,4894661
Arabele,Sayton,9496843
Enoch,Robecon,3181962
Dehlia,Hixson,3471293
Peta,Brimilcombe,7040408
Duff,Tabourel,8124421
Janaye,Snooks,5225131
Riva,Trayton,9103135
Zebulon,Highnam,8369940
Leigh,Jotcham,4207296
Malinda,Willas,9910250
Uta,McAlinden,6429144
Janaya,McGivena,2573136
Vinita,Bendare,5924146
Rahal,Lambrecht,5031510
Leoline,Moorfield,6016947
Jaclyn,Bysaker,6182642
Philomena,Leiden,4903402
Andrei,Lucio,4729723
Pierrette,Ewington,8535944
Aldridge,Nelle,1168559
Gaven,Lovitt,4250513
Lilith,Szapiro,3411883
Eduard,Poundford,1100808
Mattias,Tenbrug,7644559
Chaddie,Bessent,4690175
Huberto,Kingsford,6207502
Codie,Kenforth,1667282
Roderick,Bloggett,2590309
Holly,Sobtka,5259408
Philippa,Tourot,1185624
Virgina,Maynell,1819802
Lia,Kitman,6769762
Kamillah,Bumford,6768023
Bren,Cubbino,4770263
Curtis,Hanalan,6309168
Nedi,Tabner,3149768
Hana,Seabrook,7407668
Sheelagh,Daunay,4295382
Selina,Pattini,3614350
Godfree,Sarsons,5997060
Lenore,Penzer,3533901
Beryle,Rougier,3062383
Aubrette,Iacovelli,9477610
Ike,Stairs,4097357
Arvin,Caldera,1058583
Vaughan,Latham,2506983
Coleen,Sandford,9496816
Lydon,Crosbie,2125604
Myriam,MacNalley,6165279
Sergei,Blonfield,2413149
